"calc1","vetorial","lpt","p1","ic","lp1","calc2","md","p2","classica","lp2","grafos","cra"
NA,7,NA,NA,NA,NA,5.4,NA,NA,7.2,NA,8.6,8.06865671641791
7,7.4,7.6,7.4,8.4,8.9,NA,7.3,8.3,7,9.4,8.7,8.09382716049383
7,7.1,8.3,7.6,5.8,8.6,NA,7.4,7.1,5.1,9.1,5.7,7.10903614457831
7.5,7,6.5,7.3,9.2,5.9,8.2,5.7,7.1,7,8,6.9,7.07931034482759
NA,9.5,NA,NA,NA,NA,8.3,NA,NA,8.7,NA,9.4,8.95820895522388
6.6,8.7,7.9,8.4,7.5,8.9,8.3,7.6,7.5,5,9.2,7.2,6.3873786407767
8,8.5,9.2,9.3,8.6,8.7,NA,7.3,8.7,6.6,9.6,8.9,8.60320987654321
5,5,7,5.9,8.2,7.7,NA,7,5.9,6.1,5.6,7,6.27741935483871
8.4,8.9,10,9.3,9.6,9.7,7,6.8,8.5,7,9.6,9.1,6.13451327433628
5,5.7,9.1,8.1,8.3,7.2,NA,6.8,9,7.5,9.1,6,7.48
6.2,7,8,9,9.5,9.3,NA,6,6.4,5,8.9,8,6.95287356321839
8.3,7.6,8,7,7.1,7.8,NA,5,8.3,5.3,9.5,7.5,6.334375
5.6,5.8,7.3,6.7,8.1,7.1,5,7.2,7.4,6.6,8.8,6.7,6.83406593406593
NA,7.5,NA,NA,NA,NA,6.7,NA,NA,7.3,NA,7.4,8.21641791044776
NA,8.7,NA,NA,NA,NA,8,NA,NA,7,NA,NA,8.14166666666667
9.7,5.7,9.1,7.2,8.3,7.8,5,7.9,7.7,8.1,7.7,8.4,7.24719101123596
NA,9.7,8,9.4,10,9.8,NA,NA,9.3,8.5,9,NA,8.56756756756757
5,7.3,7.2,8.3,8.2,8.3,NA,7,7.3,5.7,7.5,7.5,7.16
8.3,9.5,9,9.5,8.7,8.1,NA,8.2,8.3,8.1,8.2,8.8,8.56864197530864
NA,6.4,NA,NA,NA,5.4,NA,NA,NA,7,7,6.5,4.98834951456311
7,6.7,7.8,6.3,8.1,8.2,NA,6.3,7.6,5,8.4,8.2,7.51604938271605
7.4,5,7.5,6.5,7.3,6.3,5.4,5,7.3,5.8,7.8,6.2,6.11627906976744
7.5,8.3,7.1,8.1,8.8,8.8,NA,6,7,6,7.9,7.2,8.18888888888889
7.2,8.4,9.5,8.9,8.1,9.6,5.8,9.6,9,7,9.3,8.8,8.52235294117647
NA,7.1,8.3,NA,NA,NA,NA,NA,7.6,7.2,9,6.5,7.85774647887324
7.8,9.5,8.3,9.2,9.2,9.3,NA,9.2,8.4,5.4,8.2,9.3,8.62222222222222
8.8,10,8.4,9.8,9.3,9.6,7,8.1,9.3,8.6,9.1,9.1,8.77176470588235
9.3,9.2,8.4,8,8.8,8.5,NA,7.2,7,5.1,8.1,7,7.83012048192771
5.3,5,7.8,5.1,5.8,5.7,NA,7.5,5.7,5.1,5,5.7,6.11714285714286
7,8.7,9.6,8.6,9.3,8.7,7.5,7.6,9.4,7.5,9.7,9.5,8.66117647058824
7.5,8.1,7.7,8.2,6.2,8.8,NA,7,8.5,7,9.3,8.1,7.94444444444444
5.1,7.2,7.8,7.7,7,8.7,NA,6.8,6.3,5.5,7.9,5,6.3
8.2,8.1,7.8,8.7,8.4,9.1,NA,6.8,7.1,7.2,9,8.6,7.57903614457831
8.8,8,8.6,5.3,7.9,8,NA,7.3,5.5,9,8.5,8.7,7.0483908045977
NA,7.5,8.3,NA,NA,NA,7.7,NA,NA,NA,NA,NA,7.08571428571429
9,9.3,8.3,8,8,8,NA,7.4,7.2,7.5,8.6,7.2,7.48915662650602
6.4,8.8,8.8,5.3,7.9,5,NA,6.8,7.1,7.9,9,7,7.46
7,7.5,7.3,5,7.9,7,NA,6,5.6,5,7,5,5.8009900990099
7.8,9.3,10,7,8.1,7.5,NA,6.2,8,7,9,7.1,7.57349397590361
5.7,6.6,7,7.2,7.1,7,NA,6,7.2,5.4,8,5.3,5.94854368932039
7.6,7,7.8,8.3,5.7,7,NA,5.8,9,6.4,9.2,7.2,7.26666666666667
7,7.3,8.1,8,7.2,8.7,NA,6,6.5,6.4,7.8,7.3,7.21686746987952
10,9.1,8.8,8.7,9.1,8.7,NA,8.5,8.9,9.1,9.5,9.3,8.68641975308642
5.8,7.2,10,8.2,7.4,8.5,7.2,6.8,7.4,7,9.3,6.5,7.01058823529412
7,6.3,7.2,5.3,7.6,7.9,5,6.3,7.7,7.8,5,6.3,7.1247191011236
7.2,9.3,9.3,9.2,8.8,8,NA,7.8,8.6,7.6,9.3,7.6,8.29759036144578
NA,6.7,NA,NA,NA,NA,NA,8.3,8.1,8.3,8.8,8.8,8.15239436619718
NA,8.9,NA,NA,NA,NA,5.1,NA,NA,6.6,NA,NA,6.68214285714286
5.6,6.5,7.6,5.7,6.5,5.7,NA,5.9,7,5.4,7.8,5.3,5.35673076923077
5.1,7,9.7,6.5,8.1,7.2,NA,5.7,7.7,7,8.4,5,7.95802469135803
7,5.6,7.5,5.6,8,7,5.6,6,7.7,7.1,8.8,7,7.05862068965517
NA,7.1,NA,NA,NA,NA,6.4,NA,NA,6,NA,8.3,6.01058823529412
9.5,7,8.6,7.2,8.2,7.6,NA,5.5,7.5,8.6,9.2,6.4,6.49052631578947
5.4,5.6,8.2,7.7,7,7.8,NA,7.8,7.3,7.1,8.9,7,6.65434782608696
9.2,10,8.3,8.6,8.4,8.9,7.6,8.6,8.8,7.5,8.5,9.2,8.77294117647059
5.4,5.2,7,5.5,7,5,NA,5,5,5.5,5.1,5.4,5.03781512605042
7.2,7.8,8.5,7.7,8.4,8.3,5,7.4,9,7.7,9.6,7.4,7.72588235294118
9.2,9.8,7.3,9.2,6.9,9,NA,9.3,7,8.7,8.3,9.4,8.72543209876543
6.5,7.5,7.8,7.4,7.6,7.4,NA,6.4,7,6.3,8.3,7,7.06823529411765
8.3,8.6,8.1,8.5,7.7,9.2,NA,7.1,7.1,7.3,9.2,8.2,7.82098765432099
6.3,8.7,8.7,7.9,8.3,7,NA,7,7.3,7.3,8.6,6.6,7.55421686746988
8.4,8.2,9,8.2,7.8,8.3,NA,7.9,8.7,5.3,9,8.7,7.16913580246914
6.5,7,8.6,8.1,8.6,9,NA,7.8,8,5,8.8,7.2,8.00617283950617
8.7,8.7,9,7.3,8.7,8.7,NA,8.1,8.9,7.8,9.7,9,8.28024691358025
NA,6.7,NA,NA,NA,NA,5,NA,NA,NA,NA,6.3,6.40196078431373
5.6,7.1,8,5,8.5,5,8.2,5.4,7.2,7,7.2,6,6.46703296703297
7,7,8.1,7.1,8.6,8.6,NA,8.1,9.1,8.7,9,7.4,7.5
7.8,9.1,7.3,5.5,9.5,9.8,NA,5.3,8.9,7,8.9,8.1,7.5609756097561
8.7,8.3,9.5,9.9,8.7,7.7,NA,6.5,9,8,9.3,8.9,8.6079012345679
8.5,8.7,8,6.3,9.6,8.2,NA,8.7,5.2,8,7.6,7.5,7.90617283950617
NA,8.7,NA,NA,NA,NA,9.3,NA,NA,7,NA,NA,7.75217391304348
NA,7.1,NA,NA,NA,NA,7,NA,NA,6.2,NA,7.5,7.63898305084746
NA,5,NA,NA,NA,NA,7.2,NA,NA,5,NA,5.8,5.85949367088608
5.7,8.4,8.6,7.7,7.8,7.1,NA,8,8.6,5.4,9.1,6.7,7.69876543209877
7.2,7,8,8.3,8.8,8.7,NA,8.2,8.6,6.97,9,7.2,8.10771084337349
7,7.8,7.6,8.2,9.2,9.6,NA,7.3,7.3,7,8.6,6.3,8.31604938271605
5.75,7.1,9.3,9.5,9.2,9.6,NA,8.1,8.2,6,9.6,7.4,8.49753086419753
8.3,6.9,8.8,7.2,8.2,7.4,NA,5.1,7.2,7.3,8,6.4,6.56276595744681
7,6.9,8.5,7.3,7.7,7.9,NA,7.3,5,5,7,6.2,7.11011235955056
NA,8.6,NA,NA,NA,NA,5.1,NA,7,NA,8.4,8.5,7.85967741935484
9.3,8.5,7.5,7.5,8.7,7.8,NA,8.8,8.1,7,8.8,7,7.5037037037037
7.2,8.6,9.5,6.1,7.3,8.6,NA,6.9,6.1,7.4,8.4,5.4,7.83456790123457
NA,5,NA,NA,NA,NA,5,NA,NA,7.4,NA,8.2,6.71066666666667
6.8,7.3,9.5,5.1,8.2,5.4,NA,7.9,8.6,7.3,8.7,7.1,7.72409638554217
7,5.6,8.4,6.1,7.9,7.5,NA,5,8.5,5.8,8.8,7.3,7.34712643678161
7.3,7.1,8.3,7,7.7,5.8,7.2,6.5,7.4,7,9.2,7.7,7.08315789473684
5.3,6.9,8.8,8.1,8,8.2,NA,NA,8.8,7,8.2,NA,7.23461538461538
6.1,5.4,9.2,7,8.5,7.9,NA,7.7,7.4,5.9,8.2,5.2,7.57176470588235
5.1,7.3,8.5,7,8.9,7.4,NA,5.8,7.2,5.1,7.4,5.7,7.62530120481928
6.3,8.2,7.3,6.6,8.4,5.9,NA,7.7,6.6,7.8,8.9,5.8,7.21481481481481
7,7,8.7,6.5,8.1,6.3,5,7,7.7,5.6,8,5,6.60481927710843
10,9.2,8,8.6,8,9.6,NA,8.2,8.3,8.6,9.4,9,7.84939759036145
NA,7.2,10,8.2,9.4,8.3,NA,7.4,7.6,7.3,9.1,9.3,7.76296296296296
7,5,7.1,7.1,7.9,7.3,NA,7.2,5.4,5,8.3,7.2,6.385
5.5,7.8,8.8,6,8.2,8,NA,9,6.9,5,8.5,8.6,8.02469135802469
8.3,9.2,7.8,8,8.9,9.2,NA,9,8.3,9,9.5,9.6,8.67456790123457
6.8,7.9,8.8,8.7,8.1,8.8,NA,6.9,9.5,5.5,8.8,7.4,8.06506024096386
NA,6.2,NA,6.7,NA,8,NA,7.4,8.4,7.9,7.3,6.6,7.21866666666667
7,5.2,7.2,8.1,7.6,7.9,NA,7.4,7.2,5,8.9,7.9,7.46
6.7,7.6,9.9,5,9.2,5.1,NA,5,7.9,8.1,8.8,6,7.88148148148148
6.2,7,8,7.3,7.8,7.1,NA,5.2,6.4,7.6,8.6,5.5,6.90963855421687
8.2,8,8.8,8.8,9.4,9.4,NA,8.5,8.4,8.1,9.6,8.1,8.65432098765432
NA,7.3,NA,NA,NA,NA,NA,5.2,8,5.8,8.2,8.6,7.38630136986301
7.7,8,9.1,8.2,8.9,8.9,NA,7,6,7.6,9.5,9.1,7.78395061728395
9.3,8.6,9.6,7.2,8.2,9.1,NA,5.4,5.9,5.1,9.6,8.5,7.25851851851852
5.8,5.8,7,7.6,7.8,9,NA,7,7.9,5,8.8,7.1,7.20123456790123
10,10,9.2,9.7,9.8,9.9,NA,10,9.9,10,9.4,9.8,9.28641975308642
7.7,7.8,8.3,8,9.5,8.8,NA,7.4,7.7,7,8.4,9.2,8.11325301204819
8.8,6.3,7.3,6.2,8.3,5.8,5,6.4,7.44,7,7.4,6.1,7.21241379310345
NA,7.3,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,7.80113636363636
5,5,7.3,7.2,7.4,8.5,NA,5.6,6.8,5,8.2,5.1,6.90588235294118
10,7.7,9.3,6.2,8.4,7,NA,7.7,8.3,8.1,8.6,7.4,7.44705882352941
5.5,5.1,7.8,8,8.7,7.6,NA,7.2,8.9,7.9,8.9,7,6.89681318681319
8.3,8.2,9.6,7,9.1,5.6,5.1,8.8,7.1,7,9.3,6.4,7.99411764705882
7.5,8.2,6,5.4,6.2,6.5,NA,8.4,7.1,5.7,8.9,7.8,6.80941176470588
7,7.1,9.6,8.4,8.2,8,9,6.8,8.8,7,9.3,8.3,7.9632183908046
5.1,7.4,8,7,7.5,7.2,NA,5,5.9,7.1,8.2,5,5.96565656565657
7.6,9.4,10,8.4,9.3,8.8,NA,7,9.4,7,9.5,7,7.85783132530121
5.8,7.3,7.3,6.2,9.2,6.7,NA,6.1,6,6.1,8.1,5.6,6.42365591397849
7.6,9.2,8.8,5,8.4,7,NA,7.7,8.6,9.6,9.1,7.7,8.26666666666667
7.3,7.8,7.1,7.1,7.8,7,NA,6.2,7,5,8.4,5.8,4.73615384615385
6.1,7.6,9.8,8,8.8,7.6,5,7,8.8,7.3,9.2,7.4,8.03218390804598
8.2,8.5,7,7.1,8.7,8.1,NA,5.8,5.5,6.8,8,7.8,7.22172839506173
7.2,5,8.8,8.4,7.8,8.4,5.4,5,6,6.4,8.2,5,6.51075268817204
