"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","CREDITOS","MAT_MEDIA_FINAL"
"91d6fddf793d9922a4c553d178993754",2016,1,1109113,"Matemática Discreta",4,6.1
"91d6fddf793d9922a4c553d178993754",2016,1,1411170,"Teoria dos Grafos",2,5.8
"91d6fddf793d9922a4c553d178993754",2016,1,1411181,"Laboratório de Programação II",4,6.7
"91d6fddf793d9922a4c553d178993754",2016,1,1411168,"Programação II",4,6.8
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,8.4
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1109103,"Cálculo Diferencial e Integral I",4,4.5
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1411167,"Programação I",4,5.7
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1411174,"Introdução à Computação",4,7.3
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1411180,"Laboratório de Programação I",4,7.1
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1307151,"Leitura e Produção de Textos",4,7.1
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1109103,"Cálculo Diferencial e Integral I",4,7
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1109113,"Matemática Discreta",4,5.2
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1411168,"Programação II",4,6.4
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1411170,"Teoria dos Grafos",2,5.1
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1411181,"Laboratório de Programação II",4,7.6
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1108089,"Fundamentos de Física Clássica",4,3.9
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1109053,"Cálculo Diferencial e Integral II",4,5.7
"ae09be67e0284c4d0d732e507bfaa48a",2015,1,1108089,"Fundamentos de Física Clássica",4,6.6
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411167,"Programação I",4,5
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411174,"Introdução à Computação",4,7
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1307151,"Leitura e Produção de Textos",4,6.5
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411180,"Laboratório de Programação I",4,7.1
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,8.7
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1109103,"Cálculo Diferencial e Integral I",4,7.3
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1109113,"Matemática Discreta",4,NA
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411168,"Programação II",4,NA
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411170,"Teoria dos Grafos",2,NA
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411181,"Laboratório de Programação II",4,NA
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1108089,"Fundamentos de Física Clássica",4,5
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1109113,"Matemática Discreta",4,7.4
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411168,"Programação II",4,7.2
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411170,"Teoria dos Grafos",2,7.9
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1411181,"Laboratório de Programação II",4,8
"d980e6dbb4f951338654342fda6b2ed6",2015,1,1109053,"Cálculo Diferencial e Integral II",4,7
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,8.6
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1109103,"Cálculo Diferencial e Integral I",4,7.7
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1411167,"Programação I",4,7.6
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1411180,"Laboratório de Programação I",4,7.8
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1307151,"Leitura e Produção de Textos",4,8
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1411174,"Introdução à Computação",4,8.6
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1108089,"Fundamentos de Física Clássica",4,7.7
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1109053,"Cálculo Diferencial e Integral II",4,7
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1109113,"Matemática Discreta",4,7.9
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1411168,"Programação II",4,8
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1411170,"Teoria dos Grafos",2,9
"e8b99b12629396d2f07558e311ce8c7f",2015,2,1411181,"Laboratório de Programação II",4,7.2
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,5.9
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1109103,"Cálculo Diferencial e Integral I",4,7.3
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1411167,"Programação I",4,10
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1411174,"Introdução à Computação",4,8.8
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1411180,"Laboratório de Programação I",4,10
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1307151,"Leitura e Produção de Textos",4,6.5
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1108089,"Fundamentos de Física Clássica",4,5
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1109053,"Cálculo Diferencial e Integral II",4,7.3
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1411170,"Teoria dos Grafos",2,9.5
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1411181,"Laboratório de Programação II",4,7
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1109113,"Matemática Discreta",4,8
"2ede780a7f505495ff7470f9a1ace7ff",2015,1,1411168,"Programação II",4,8.7
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,8
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1109103,"Cálculo Diferencial e Integral I",4,7.4
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1411167,"Programação I",4,7
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1411174,"Introdução à Computação",4,9.8
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1411180,"Laboratório de Programação I",4,7.7
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1307151,"Leitura e Produção de Textos",4,7.2
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1108089,"Fundamentos de Física Clássica",4,7.6
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1109053,"Cálculo Diferencial e Integral II",4,6.8
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1109113,"Matemática Discreta",4,8
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1411168,"Programação II",4,8.5
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1411170,"Teoria dos Grafos",2,9
"936d4f1cf4b62f8e15960fe25e83c63f",2015,2,1411181,"Laboratório de Programação II",4,8.9
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,7.9
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1109103,"Cálculo Diferencial e Integral I",4,7.2
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1411167,"Programação I",4,7
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1411174,"Introdução à Computação",4,8.5
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1411180,"Laboratório de Programação I",4,7.5
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1307151,"Leitura e Produção de Textos",4,8.3
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1108089,"Fundamentos de Física Clássica",4,8.8
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1109053,"Cálculo Diferencial e Integral II",4,6.3
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1109113,"Matemática Discreta",4,8.6
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1411170,"Teoria dos Grafos",2,6.5
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1411181,"Laboratório de Programação II",4,8.9
"b4178e369bba2d8a5b39d921b44c7ce4",2015,1,1411168,"Programação II",4,8.5
"037119c4740aa04d14742993e4aab789",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,9.1
"037119c4740aa04d14742993e4aab789",2015,1,1109103,"Cálculo Diferencial e Integral I",4,8.2
"037119c4740aa04d14742993e4aab789",2015,1,1411167,"Programação I",4,7
"037119c4740aa04d14742993e4aab789",2015,1,1411174,"Introdução à Computação",4,10
"037119c4740aa04d14742993e4aab789",2015,1,1411180,"Laboratório de Programação I",4,7.7
"037119c4740aa04d14742993e4aab789",2015,1,1307151,"Leitura e Produção de Textos",4,8.3
"037119c4740aa04d14742993e4aab789",2015,1,1108089,"Fundamentos de Física Clássica",4,9.1
"037119c4740aa04d14742993e4aab789",2015,1,1109053,"Cálculo Diferencial e Integral II",4,9.2
"037119c4740aa04d14742993e4aab789",2015,1,1109113,"Matemática Discreta",4,9.7
"037119c4740aa04d14742993e4aab789",2015,1,1411168,"Programação II",4,9.2
"037119c4740aa04d14742993e4aab789",2015,1,1411170,"Teoria dos Grafos",2,8.9
"037119c4740aa04d14742993e4aab789",2015,1,1411181,"Laboratório de Programação II",4,9
"eed18570d1378305089e05dac209257b",2015,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,6
"eed18570d1378305089e05dac209257b",2015,2,1109103,"Cálculo Diferencial e Integral I",4,2.5
"eed18570d1378305089e05dac209257b",2015,2,1411167,"Programação I",4,8.9
"eed18570d1378305089e05dac209257b",2015,2,1411174,"Introdução à Computação",4,8.8
"eed18570d1378305089e05dac209257b",2015,2,1307151,"Leitura e Produção de Textos",4,7.8
"eed18570d1378305089e05dac209257b",2015,2,1411180,"Laboratório de Programação I",4,9.2
"eed18570d1378305089e05dac209257b",2015,2,1109113,"Matemática Discreta",4,7.2
"eed18570d1378305089e05dac209257b",2015,2,1411170,"Teoria dos Grafos",2,8.8
"eed18570d1378305089e05dac209257b",2015,2,1411181,"Laboratório de Programação II",4,9
"eed18570d1378305089e05dac209257b",2015,2,1109103,"Cálculo Diferencial e Integral I",4,6
"eed18570d1378305089e05dac209257b",2015,2,1411168,"Programação II",4,9.1
"eed18570d1378305089e05dac209257b",2015,2,1108089,"Fundamentos de Física Clássica",4,3.2
"eed18570d1378305089e05dac209257b",2015,2,1109053,"Cálculo Diferencial e Integral II",4,6
"eed18570d1378305089e05dac209257b",2015,2,1108089,"Fundamentos de Física Clássica",4,2.1
"eed18570d1378305089e05dac209257b",2015,2,1108089,"Fundamentos de Física Clássica",4,2.9
"eed18570d1378305089e05dac209257b",2015,2,1108089,"Fundamentos de Física Clássica",4,9
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1109035,"Álgebra Vetorial e Geometria Analítica",4,5.8
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1109103,"Cálculo Diferencial e Integral I",4,2.2
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1411167,"Programação I",4,7
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1411174,"Introdução à Computação",4,8.3
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1307151,"Leitura e Produção de Textos",4,7.2
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1411180,"Laboratório de Programação I",4,7.2
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1411168,"Programação II",4,7.6
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1411170,"Teoria dos Grafos",2,7.9
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1411181,"Laboratório de Programação II",4,7
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1109103,"Cálculo Diferencial e Integral I",4,5.2
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1108089,"Fundamentos de Física Clássica",4,2.5
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1109053,"Cálculo Diferencial e Integral II",4,1.3
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1109113,"Matemática Discreta",4,6.5
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1108089,"Fundamentos de Física Clássica",4,0
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1109053,"Cálculo Diferencial e Integral II",4,3.3
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1108089,"Fundamentos de Física Clássica",4,7.3
"b6323f92cbd1becd9b3322efac670ebb",2015,2,1109053,"Cálculo Diferencial e Integral II",4,7.5
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,9
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1109103,"Cálculo Diferencial e Integral I",4,8.2
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1411167,"Programação I",4,7.8
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1411174,"Introdução à Computação",4,9.2
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1411180,"Laboratório de Programação I",4,8
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1307151,"Leitura e Produção de Textos",4,7
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1108089,"Fundamentos de Física Clássica",4,7.8
"2559cbb56d6bd9ae2a9a79faf9b917d2",2015,1,1109053,"Cálculo Diferencial e Integral II",4,6.7
